INFO	2022-06-08 10:10:57,699	[basepage.py:36]	打开网页https://www.imymac.com/store/
INFO	2022-06-08 10:10:57,797	[basepage.py:96]	点击元素：('css', 'a[data-product="655714"]')
INFO	2022-06-08 10:10:58,299	[basepage.py:227]	切换frame==>pf_655714
INFO	2022-06-08 10:10:59,902	[basepage.py:232]	下拉框value选择==》zh-Hans
INFO	2022-06-08 10:11:00,275	[basepage.py:81]	输入文本：123@123.com
INFO	2022-06-08 10:11:02,367	[basepage.py:96]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div>div>button')
INFO	2022-06-08 10:11:02,883	[basepage.py:232]	下拉框value选择==》CN
INFO	2022-06-08 10:11:03,176	[basepage.py:96]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div:nth-child(3)>div>button')
INFO	2022-06-08 10:11:03,951	[basepage.py:96]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>div:nth-child(3)>div>button:nth-child(1)')
INFO	2022-06-08 10:11:06,723	[basepage.py:81]	输入文本：
INFO	2022-06-08 10:11:06,985	[basepage.py:81]	输入文本：李
INFO	2022-06-08 10:11:07,252	[basepage.py:81]	输入文本：
INFO	2022-06-08 10:11:07,563	[basepage.py:81]	输入文本：2023
INFO	2022-06-08 10:11:07,889	[basepage.py:81]	输入文本：568
INFO	2022-06-08 10:11:07,983	[basepage.py:96]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>div:nth-child(3)>form>div>div>button')
INFO	2022-06-08 10:11:09,028	[basepage.py:257]	获取到text==》['您输入的名称无效。', '您输入的信用卡无效。', '您输入的期限月份无效。']
INFO	2022-06-08 10:11:09,029	[basepage.py:329]	预期结果: 您输入的名称无效。您输入的信用卡无效。您输入的期限月份无效。,实际结果: 您输入的名称无效。您输入的信用卡无效。您输入的期限月份无效。, 断言方法：eq, 断言结果：True
