INFO	2022-06-08 10:10:45,342	[basepage.py:36]	打开网页https://www.imymac.com/store/
INFO	2022-06-08 10:10:45,425	[basepage.py:96]	点击元素：('css', 'a[data-product="655714"]')
INFO	2022-06-08 10:10:45,929	[basepage.py:227]	切换frame==>pf_655714
INFO	2022-06-08 10:10:47,447	[basepage.py:232]	下拉框value选择==》zh-Hans
INFO	2022-06-08 10:10:47,959	[basepage.py:81]	输入文本：123@123.com
INFO	2022-06-08 10:10:50,074	[basepage.py:96]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div>div>button')
INFO	2022-06-08 10:10:50,585	[basepage.py:232]	下拉框value选择==》CN
INFO	2022-06-08 10:10:51,013	[basepage.py:96]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div:nth-child(3)>div>button')
INFO	2022-06-08 10:10:51,950	[basepage.py:96]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>div:nth-child(3)>div>button:nth-child(1)')
INFO	2022-06-08 10:10:54,756	[basepage.py:81]	输入文本：
INFO	2022-06-08 10:10:55,037	[basepage.py:81]	输入文本：李
INFO	2022-06-08 10:10:55,301	[basepage.py:81]	输入文本：2
INFO	2022-06-08 10:10:55,599	[basepage.py:81]	输入文本：2023
INFO	2022-06-08 10:10:55,897	[basepage.py:81]	输入文本：568
INFO	2022-06-08 10:10:56,095	[basepage.py:96]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>div:nth-child(3)>form>div>div>button')
INFO	2022-06-08 10:10:57,136	[basepage.py:257]	获取到text==》['您输入的名称无效。', '您输入的信用卡无效。']
INFO	2022-06-08 10:10:57,137	[basepage.py:329]	预期结果: 您输入的名称无效。您输入的信用卡无效。,实际结果: 您输入的名称无效。您输入的信用卡无效。, 断言方法：eq, 断言结果：True
