INFO	2022-06-08 10:16:03,639	[basepage.py:36]	打开网页https://www.imymac.com/store/
INFO	2022-06-08 10:16:03,698	[basepage.py:96]	点击元素：('css', 'a[data-product="666252"]')
INFO	2022-06-08 10:16:04,199	[basepage.py:227]	切换frame==>pf_666252
INFO	2022-06-08 10:16:05,890	[basepage.py:232]	下拉框value选择==》zh-Hans
INFO	2022-06-08 10:16:06,244	[basepage.py:81]	输入文本：123@123.com
INFO	2022-06-08 10:16:08,346	[basepage.py:96]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div>div>button')
INFO	2022-06-08 10:16:08,858	[basepage.py:232]	下拉框value选择==》CN
INFO	2022-06-08 10:16:09,234	[basepage.py:96]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div:nth-child(3)>div>button')
INFO	2022-06-08 10:16:10,018	[basepage.py:96]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>div:nth-child(3)>div>button:nth-child(1)')
INFO	2022-06-08 10:16:12,866	[basepage.py:81]	输入文本：
INFO	2022-06-08 10:16:13,238	[basepage.py:81]	输入文本：
INFO	2022-06-08 10:16:13,613	[basepage.py:81]	输入文本：2
INFO	2022-06-08 10:16:13,988	[basepage.py:81]	输入文本：2023
INFO	2022-06-08 10:16:14,330	[basepage.py:81]	输入文本：56
INFO	2022-06-08 10:16:14,419	[basepage.py:96]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>div:nth-child(3)>form>div>div>button')
INFO	2022-06-08 10:16:15,457	[basepage.py:257]	获取到text==》['您输入的名称无效。', '您输入的信用卡无效。', '您输入的 CVV 无效。']
INFO	2022-06-08 10:16:15,458	[basepage.py:329]	预期结果: 您输入的名称无效。您输入的信用卡无效。您输入的 CVV 无效。,实际结果: 您输入的名称无效。您输入的信用卡无效。您输入的 CVV 无效。, 断言方法：eq, 断言结果：True
