INFO	2021-11-23 17:49:55,970	[basepage.py:32]	打开网页https://www.imymac.com/store/
INFO	2021-11-23 17:49:55,970	[basepage.py:226]	关闭黑色星期五优惠链接
INFO	2021-11-23 17:49:55,971	[basepage.py:153]	使用js操控浏览器==》document.querySelector('div.close-tag').click()
INFO	2021-11-23 17:49:57,154	[basepage.py:90]	点击元素：('css', '#powermymac-one-month')
INFO	2021-11-23 17:49:58,163	[basepage.py:181]	切换frame==>pf_631115
INFO	2021-11-23 17:49:58,513	[basepage.py:186]	下拉框value选择==》zh-Hans
INFO	2021-11-23 17:49:59,563	[basepage.py:82]	输入文本：123@123.com
INFO	2021-11-23 17:49:59,646	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div>div>button')
INFO	2021-11-23 17:50:00,657	[basepage.py:186]	下拉框value选择==》CN
INFO	2021-11-23 17:50:00,827	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div:nth-child(3)>div>button')
INFO	2021-11-23 17:50:01,941	[basepage.py:90]	点击元素：('css', '#root > div > div> div> div > div > div >div:nth-child(3)>div>div:nth-child(1)>button')
INFO	2021-11-23 17:50:05,004	[basepage.py:82]	输入文本：
INFO	2021-11-23 17:50:05,062	[basepage.py:82]	输入文本：李
INFO	2021-11-23 17:50:05,112	[basepage.py:82]	输入文本：
INFO	2021-11-23 17:50:05,206	[basepage.py:82]	输入文本：
INFO	2021-11-23 17:50:05,276	[basepage.py:82]	输入文本：
INFO	2021-11-23 17:50:05,399	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>div:nth-child(3)>form>div:nth-child(2)>div>button')
INFO	2021-11-23 17:50:06,464	[basepage.py:211]	获取到text==》['您输入的名称无效。', '您输入的信用卡无效。', '您输入的期限月份无效。', '您输入的期限年份无效。', '您输入的 CVV 无效。']
