INFO	2021-11-18 16:16:21,319	[basepage.py:32]	打开网页https://www.imymac.com/store/
INFO	2021-11-18 16:16:21,319	[basepage.py:226]	关闭黑色星期五优惠链接
INFO	2021-11-18 16:16:21,319	[basepage.py:153]	使用js操控浏览器==》document.querySelector('div.close-tag').click()
INFO	2021-11-18 16:16:22,376	[basepage.py:90]	点击元素：('css', '#powermymac-one-month')
INFO	2021-11-18 16:16:23,386	[basepage.py:181]	切换frame==>pf_631115
INFO	2021-11-18 16:16:34,039	[basepage.py:186]	下拉框value选择==》zh-Hans
INFO	2021-11-18 16:16:34,202	[basepage.py:82]	输入文本：123@123.com
INFO	2021-11-18 16:16:34,274	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div>div>button')
INFO	2021-11-18 16:16:35,278	[basepage.py:186]	下拉框value选择==》CN
INFO	2021-11-18 16:16:36,742	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div:nth-child(3)>div>button')
INFO	2021-11-18 16:16:37,852	[basepage.py:90]	点击元素：('css', '#root > div > div> div> div > div > div >div:nth-child(3)>div>div:nth-child(1)>button')
INFO	2021-11-18 16:16:40,930	[basepage.py:82]	输入文本：
INFO	2021-11-18 16:16:40,984	[basepage.py:82]	输入文本：
INFO	2021-11-18 16:16:41,037	[basepage.py:82]	输入文本：
INFO	2021-11-18 16:16:41,089	[basepage.py:82]	输入文本：
INFO	2021-11-18 16:16:41,150	[basepage.py:82]	输入文本：
INFO	2021-11-18 16:16:41,222	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>div:nth-child(3)>form>div:nth-child(2)>div>button')
INFO	2021-11-18 16:16:42,284	[basepage.py:211]	获取到text==》['您输入的名称无效。', '您输入的信用卡无效。', '您输入的期限月份无效。', '您输入的期限年份无效。', '您输入的 CVV 无效。']
