INFO	2021-11-23 17:49:14,121	[basepage.py:32]	打开网页https://www.imymac.com/store/
INFO	2021-11-23 17:49:14,121	[basepage.py:226]	关闭黑色星期五优惠链接
INFO	2021-11-23 17:49:14,122	[basepage.py:153]	使用js操控浏览器==》document.querySelector('div.close-tag').click()
INFO	2021-11-23 17:49:15,480	[basepage.py:90]	点击元素：('css', '#powermymac-one-month')
INFO	2021-11-23 17:49:16,496	[basepage.py:181]	切换frame==>pf_631115
INFO	2021-11-23 17:49:17,939	[basepage.py:186]	下拉框value选择==》zh-Hans
INFO	2021-11-23 17:49:18,830	[basepage.py:82]	输入文本：123@123.com
INFO	2021-11-23 17:49:18,922	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div>div>button')
INFO	2021-11-23 17:49:19,927	[basepage.py:186]	下拉框value选择==》CN
INFO	2021-11-23 17:49:20,072	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div:nth-child(3)>div>button')
INFO	2021-11-23 17:49:21,149	[basepage.py:90]	点击元素：('css', '#root > div > div> div> div > div > div >div:nth-child(3)>div>div:nth-child(1)>button')
INFO	2021-11-23 17:49:24,227	[basepage.py:82]	输入文本：
INFO	2021-11-23 17:49:24,289	[basepage.py:82]	输入文本：
INFO	2021-11-23 17:49:24,340	[basepage.py:82]	输入文本：
INFO	2021-11-23 17:49:24,392	[basepage.py:82]	输入文本：
INFO	2021-11-23 17:49:24,445	[basepage.py:82]	输入文本：
INFO	2021-11-23 17:49:24,520	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>div:nth-child(3)>form>div:nth-child(2)>div>button')
INFO	2021-11-23 17:49:25,577	[basepage.py:211]	获取到text==》['您输入的名称无效。', '您输入的信用卡无效。', '您输入的期限月份无效。', '您输入的期限年份无效。', '您输入的 CVV 无效。']
