INFO	2021-11-23 17:50:10,169	[basepage.py:32]	打开网页https://www.imymac.com/store/
INFO	2021-11-23 17:50:10,170	[basepage.py:226]	关闭黑色星期五优惠链接
INFO	2021-11-23 17:50:10,170	[basepage.py:153]	使用js操控浏览器==》document.querySelector('div.close-tag').click()
INFO	2021-11-23 17:50:11,255	[basepage.py:90]	点击元素：('css', '#powermymac-one-month')
INFO	2021-11-23 17:50:12,257	[basepage.py:181]	切换frame==>pf_631115
INFO	2021-11-23 17:50:13,281	[basepage.py:186]	下拉框value选择==》zh-Hans
INFO	2021-11-23 17:50:14,190	[basepage.py:82]	输入文本：123@123.com
INFO	2021-11-23 17:50:14,289	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div>div>button')
INFO	2021-11-23 17:50:15,290	[basepage.py:186]	下拉框value选择==》CN
INFO	2021-11-23 17:50:15,409	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div:nth-child(3)>div>button')
INFO	2021-11-23 17:50:16,584	[basepage.py:90]	点击元素：('css', '#root > div > div> div> div > div > div >div:nth-child(3)>div>div:nth-child(1)>button')
INFO	2021-11-23 17:50:19,659	[basepage.py:82]	输入文本：
INFO	2021-11-23 17:50:19,722	[basepage.py:82]	输入文本：
INFO	2021-11-23 17:50:19,779	[basepage.py:82]	输入文本：
INFO	2021-11-23 17:50:19,854	[basepage.py:82]	输入文本：1000
INFO	2021-11-23 17:50:19,910	[basepage.py:82]	输入文本：
INFO	2021-11-23 17:50:19,991	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>div:nth-child(3)>form>div:nth-child(2)>div>button')
INFO	2021-11-23 17:50:21,045	[basepage.py:211]	获取到text==》['您输入的名称无效。', '您输入的信用卡无效。', '您输入的期限月份无效。', '您输入的期限年份无效。', '您输入的 CVV 无效。']
