INFO	2022-06-08 10:15:27,417	[basepage.py:36]	打开网页https://www.imymac.com/store/
INFO	2022-06-08 10:15:27,492	[basepage.py:96]	点击元素：('css', 'a[data-product="666252"]')
INFO	2022-06-08 10:15:27,995	[basepage.py:227]	切换frame==>pf_666252
INFO	2022-06-08 10:15:29,352	[basepage.py:232]	下拉框value选择==》zh-Hans
INFO	2022-06-08 10:15:29,711	[basepage.py:81]	输入文本：123@123.com
INFO	2022-06-08 10:15:31,814	[basepage.py:96]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div>div>button')
INFO	2022-06-08 10:15:32,315	[basepage.py:232]	下拉框value选择==》CN
INFO	2022-06-08 10:15:32,812	[basepage.py:96]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div:nth-child(3)>div>button')
INFO	2022-06-08 10:15:33,572	[basepage.py:96]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>div:nth-child(3)>div>button:nth-child(1)')
INFO	2022-06-08 10:15:36,333	[basepage.py:81]	输入文本：
INFO	2022-06-08 10:15:36,598	[basepage.py:81]	输入文本：
INFO	2022-06-08 10:15:36,866	[basepage.py:81]	输入文本：
INFO	2022-06-08 10:15:37,193	[basepage.py:81]	输入文本：1000
INFO	2022-06-08 10:15:37,454	[basepage.py:81]	输入文本：
INFO	2022-06-08 10:15:37,529	[basepage.py:96]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>div:nth-child(3)>form>div>div>button')
INFO	2022-06-08 10:15:38,586	[basepage.py:257]	获取到text==》['您输入的名称无效。', '您输入的信用卡无效。', '您输入的期限月份无效。', '您输入的期限年份无效。', '您输入的 CVV 无效。']
INFO	2022-06-08 10:15:38,587	[basepage.py:329]	预期结果: 您输入的名称无效。您输入的信用卡无效。您输入的期限月份无效。您输入的期限年份无效。您输入的 CVV 无效。,实际结果: 您输入的名称无效。您输入的信用卡无效。您输入的期限月份无效。您输入的期限年份无效。您输入的 CVV 无效。, 断言方法：eq, 断言结果：True
