INFO	2022-06-08 10:11:46,604	[basepage.py:36]	打开网页https://www.imymac.com/store/
INFO	2022-06-08 10:11:46,657	[basepage.py:96]	点击元素：('css', 'a[data-product="666252"]')
INFO	2022-06-08 10:11:47,166	[basepage.py:227]	切换frame==>pf_666252
INFO	2022-06-08 10:11:48,559	[basepage.py:232]	下拉框value选择==》zh-Hans
INFO	2022-06-08 10:11:48,914	[basepage.py:81]	输入文本：123@123.com
INFO	2022-06-08 10:11:51,016	[basepage.py:96]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div>div>button')
INFO	2022-06-08 10:11:51,520	[basepage.py:232]	下拉框value选择==》CN
INFO	2022-06-08 10:11:51,900	[basepage.py:96]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div:nth-child(3)>div>button')
INFO	2022-06-08 10:11:52,761	[basepage.py:96]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>div:nth-child(3)>div>button:nth-child(1)')
INFO	2022-06-08 10:11:55,607	[basepage.py:81]	输入文本：12347
INFO	2022-06-08 10:11:55,871	[basepage.py:81]	输入文本：
INFO	2022-06-08 10:11:56,147	[basepage.py:81]	输入文本：
INFO	2022-06-08 10:11:56,471	[basepage.py:81]	输入文本：2023
INFO	2022-06-08 10:11:56,781	[basepage.py:81]	输入文本：568
INFO	2022-06-08 10:11:56,841	[basepage.py:96]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>div:nth-child(3)>form>div>div>button')
INFO	2022-06-08 10:11:57,884	[basepage.py:257]	获取到text==》['您输入的名称无效。', '您输入的信用卡无效。', '您输入的期限月份无效。']
INFO	2022-06-08 10:11:57,885	[basepage.py:329]	预期结果: 您输入的名称无效。您输入的信用卡无效。您输入的期限月份无效。,实际结果: 您输入的名称无效。您输入的信用卡无效。您输入的期限月份无效。, 断言方法：eq, 断言结果：True
