INFO	2021-11-23 17:48:51,991	[basepage.py:32]	打开网页https://www.imymac.com/store/
INFO	2021-11-23 17:48:51,992	[basepage.py:226]	关闭黑色星期五优惠链接
INFO	2021-11-23 17:48:51,992	[basepage.py:153]	使用js操控浏览器==》document.querySelector('div.close-tag').click()
INFO	2021-11-23 17:48:53,058	[basepage.py:90]	点击元素：('css', '#powermymac-one-month')
INFO	2021-11-23 17:48:54,069	[basepage.py:181]	切换frame==>pf_631115
INFO	2021-11-23 17:48:55,140	[basepage.py:186]	下拉框value选择==》zh-Hans
INFO	2021-11-23 17:48:56,358	[basepage.py:82]	输入文本：123@123.com
INFO	2021-11-23 17:48:56,461	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div>div>button')
INFO	2021-11-23 17:48:57,466	[basepage.py:186]	下拉框value选择==》CN
INFO	2021-11-23 17:48:57,628	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>form>div:nth-child(3)>div>button')
INFO	2021-11-23 17:48:58,696	[basepage.py:90]	点击元素：('css', '#root > div > div> div> div > div > div >div:nth-child(3)>div>div:nth-child(1)>button')
INFO	2021-11-23 17:49:01,777	[basepage.py:82]	输入文本：
INFO	2021-11-23 17:49:01,828	[basepage.py:82]	输入文本：
INFO	2021-11-23 17:49:01,893	[basepage.py:82]	输入文本：24
INFO	2021-11-23 17:49:01,976	[basepage.py:82]	输入文本：
INFO	2021-11-23 17:49:02,055	[basepage.py:82]	输入文本：568
INFO	2021-11-23 17:49:02,181	[basepage.py:90]	点击元素：('css', '#root>div>div>div>div:nth-child(2)>div>div>div:nth-child(3)>form>div:nth-child(2)>div>button')
INFO	2021-11-23 17:49:03,227	[basepage.py:211]	获取到text==》['您输入的名称无效。', '您输入的信用卡无效。', '您输入的期限月份无效。', '您输入的期限年份无效。']
