"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","FAQ页面测试","register常见问题测试","0","0","14","0","0"
"","文章搜索页面测试","文章搜索页面功能测试","0","9","47","0","0"
"","Support页面测试","链接页面内容测试","0","0","4","0","0"
"","VideoConverter页面测试","VideoConverter主页内容测试","0","0","16","0","0"
"","Store测试","Video套餐测试","0","0","36","0","0"
"","pdf-compressor页面测试","pdf-compressor页面内容测试","0","0","2","0","0"
"","首页测试","底部链接栏测试","0","1","49","2","0"
"","PowerMyMac底部受欢迎功能介绍页面测试","mac cleaner页面内容测试","0","0","12","0","0"
"","FAQ页面测试","activate常见问题测试","0","0","38","0","0"
"","VideoConverter页面测试","Video-guide页面内容测试","0","0","7","0","0"
"","Store测试","PMM套餐测试","0","0","30","0","0"
"","PowerMyMac底部受欢迎功能介绍页面测试","browser cleanup页面内容测试","0","0","12","0","0"
"","PowerMyMac底部受欢迎功能介绍页面测试","duplicate finder页面内容测试","0","0","12","0","0"
"","PowerMyMac底部受欢迎功能介绍页面测试","similar image页面内容测试","0","0","12","0","0"
"","首页测试","导航栏测试","0","0","13","0","0"
"","FAQ页面测试","跳转常见问题测试","0","0","7","0","0"
"","PowerMyMac底部受欢迎功能介绍页面测试","mac-uninstaller页面内容测试","0","0","12","0","0"
"","网址地图页面测试","跳转功能测试","0","0","12","0","0"
"","FAQ页面测试","Video常见问题测试","0","0","2","0","0"
"","邮箱咨询页面测试","功能测试","0","0","4","0","0"
"","404页面测试","功能测试","0","0","4","0","0"
"","PowerMyMac底部受欢迎功能介绍页面测试","powermymac页面内容测试","0","0","14","0","0"
"","首页测试","body内容测试","0","0","15","0","0"
"","FAQ页面测试","PDF常见问题测试","0","0","2","0","0"
"","团体简介页面测试","功能测试","0","0","12","0","0"
"","FAQ页面测试","PowerMyMac常见问题测试","0","0","2","0","0"
"","Store测试","Store主页面内容测试","2","1","0","0","0"
"","VideoConverter页面测试","Video-tech页面内容测试","0","0","2","0","0"
"","FAQ页面测试","order常见问题测试","0","0","2","0","0"
