"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Nov 12 17:26:49 CST 2021","Fri Nov 12 17:26:49 CST 2021","21","TestCase.discount_test_case","test_discount","TestBody","","","步骤内容测试",""
"passed","Fri Nov 12 17:26:47 CST 2021","Fri Nov 12 17:26:47 CST 2021","22","TestCase.discount_test_case","test_discount","TestBody","","","步骤内容测试",""
"skipped","Fri Nov 12 17:26:49 CST 2021","Fri Nov 12 17:26:49 CST 2021","0","TestCase.discount_test_case","test_discount","TestBody","","","提交邮箱测试",""
"passed","Fri Nov 12 17:27:05 CST 2021","Fri Nov 12 17:27:05 CST 2021","22","TestCase.discount_test_case","test_discount","TestBody","","","步骤内容测试",""
"skipped","Fri Nov 12 17:26:47 CST 2021","Fri Nov 12 17:26:47 CST 2021","0","TestCase.discount_test_case","test_discount","TestBody","","","提交邮箱测试",""
"passed","Fri Nov 12 17:26:47 CST 2021","Fri Nov 12 17:26:49 CST 2021","1748","TestCase.discount_test_case","test_discount","TestBody","","","购买链接测试",""
"skipped","Fri Nov 12 17:26:47 CST 2021","Fri Nov 12 17:26:47 CST 2021","0","TestCase.discount_test_case","test_discount","TestBody","","","查询邮箱拥有优惠测试",""
"passed","Fri Nov 12 17:26:47 CST 2021","Fri Nov 12 17:26:48 CST 2021","336","TestCase.discount_test_case","test_discount","TestBody","","","支持优惠邮箱测试",""
"skipped","Fri Nov 12 17:27:05 CST 2021","Fri Nov 12 17:27:05 CST 2021","1","TestCase.discount_test_case","test_discount","TestBody","","","提交邮箱测试",""
"passed","Fri Nov 12 17:26:49 CST 2021","Fri Nov 12 17:26:49 CST 2021","19","TestCase.discount_test_case","test_discount","TestBody","","","打开邮箱工具测试",""
